"","RT1","RT2","RT3","RT4","Order1","Order2","Order3","Order4","Value1","Value2","Value3","Value4","trialNGlobal","id","choiceCondition","phase","firstRT","firstValue","meanValue","valueDiff","bestValue","worstValue","secondValue","thirdValue","isBestFirst","conflict","confrt","participant"
"1887",11.8054999999999,-1,-1,-1,1,-1,-1,-1,6.04920305524554,0.075736878410218,0.97132558671255,1.2141602531312,86,19726,0,"OR1",11.8054999999999,6.04920305524554,2.07760644337488,5.29546214916088,6.04920305524554,0.075736878410218,1.2141602531312,0.97132558671255,TRUE,3,7.2959,19726
"1888",6.39770000004773,-1,-1,-1,1,-1,-1,-1,3.92160082620288,2.84243532211061,2.04935031467014,3.0118175688244,87,19726,0,"OR1",6.39770000004773,3.92160082620288,2.95630100795201,1.28706642433449,3.92160082620288,2.04935031467014,3.0118175688244,2.84243532211061,TRUE,1,3.4365,19726
"1889",-1,2.96069999992869,-1,-1,-1,1,-1,-1,6.94353666759673,6.99345276847718,4.96313670324901,10,88,19726,0,"OR1",2.96069999992869,6.99345276847718,7.22503153483073,3.69995795355903,10,4.96313670324901,6.99345276847718,6.94353666759673,FALSE,1,2.8771,19726
"1890",-1,-1,-1,3.51619999992863,-1,-1,-1,1,9.96458604600694,5.02747163318452,8.9908699156746,8.89175172836062,89,19726,0,"OR1",3.51619999992863,8.89175172836062,8.21866983080667,2.3278882869337,9.96458604600694,5.02747163318452,8.9908699156746,8.89175172836062,FALSE,1,9.1317,19726
"1891",-1,-1,-1,2.93189999997639,-1,-1,-1,1,8.76278734964038,8.96604410807292,10,9.86293635292659,90,19726,0,"OR1",2.93189999997639,9.86293635292659,9.39794195265997,0.80274406312004,10,8.76278734964038,9.86293635292659,8.96604410807292,FALSE,1,3.1253,19726
"1892",-1,-1,-1,2.28360000002385,-1,-1,-1,1,2.06185283358135,1.97943890283978,1.99263993520585,1.93118722098214,91,19726,0,"OR1",2.28360000002385,1.93118722098214,1.99127972315228,0.0940974805720896,2.06185283358135,1.93118722098214,1.99263993520585,1.97943890283978,FALSE,1,3.0938,19726
"1893",-1,-1,-1,5.22889999997597,-1,-1,-1,1,3.0118175688244,7.85761951264881,2.9961925688244,5.04356844463046,92,19726,0,"OR1",5.22889999997597,5.04356844463046,4.72729952373202,4.17375998522239,7.85761951264881,2.9961925688244,5.04356844463046,3.0118175688244,FALSE,1,3.7229,19726
"1894",-1,-1,2.66620000004787,-1,-1,-1,1,-1,2.84243532211061,4.98123798673115,10,6.97370062934028,93,19726,0,"OR1",2.66620000004787,10,6.19934348454551,5.06754202060598,10,2.84243532211061,6.97370062934028,4.98123798673115,TRUE,1,3.7566,19726
"1895",-1,3.41210000002411,-1,-1,-1,1,-1,-1,5.98292953249008,8.07535710410466,6.03726438492064,5.91546533978175,94,19726,0,"OR1",3.41210000002411,8.07535710410466,6.50275409032428,2.09680401837384,8.07535710410466,5.91546533978175,6.03726438492064,5.98292953249008,TRUE,1,3.8923,19726
"1896",-1,-1,-1,1.68269999992845,-1,-1,-1,1,0.97132558671255,1.89676436166915,1.04967196025546,5.00024123418899,95,19726,0,"OR1",1.68269999992845,5.00024123418899,2.22950078570654,3.6943205979766,5.00024123418899,0.97132558671255,1.89676436166915,1.04967196025546,TRUE,4,7.3715,19726
"1897",-1,10.2788000000719,-1,-1,-1,1,-1,-1,7.99866497705853,10,7.98852926587302,6.11718943762401,96,19726,1,"XOR",10.2788000000719,10,8.02609592013889,2.63187210648148,10,6.11718943762401,7.99866497705853,7.98852926587302,TRUE,3,5.2899,19726
"1898",-1,-1,-1,9.91120000004776,-1,-1,-1,1,3.02537512400794,4.98909989614335,2.04935031467014,1.98448350694444,97,19726,1,"XOR",9.91120000004776,1.98448350694444,3.01207721044147,2.63603024760251,4.98909989614335,1.98448350694444,3.02537512400794,2.04935031467014,FALSE,2,5.3743,19726
"1899",-1,-1,-1,4.03360000002385,-1,-1,-1,1,0,1.2141602531312,1.99263993520585,10,98,19726,1,"XOR",4.03360000002385,10,3.30170004708426,8.93106660388765,10,0,1.99263993520585,1.2141602531312,TRUE,1,4.8057,19726
